date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:09:11	87553/87553	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2018%20Oct%202024%2020:23:08%20GMT	https://ftplay.top/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Meus%20Sites/DMCA/ftplay.top/wp-includes/js/jquery/jquery.minf43b.js	(from https://ftplay.top/dmca)
14:09:11	13577/13577	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2018%20Oct%202024%2020:23:08%20GMT	https://ftplay.top/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Meus%20Sites/DMCA/ftplay.top/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://ftplay.top/dmca)
14:09:12	40589/40589	---MCZ	200	added ('OK')	application/json	date:Wed,%2012%20Mar%202025%2017:09:13%20GMT	https://ftplay.top/wp-json/wp/v2/pages/600	C:/Meus%20Sites/DMCA/ftplay.top/wp-json/wp/v2/pages/600.json	(from https://ftplay.top/dmca)
14:09:12	229694/229694	---MCZ	200	added ('OK')	application/json	date:Wed,%2012%20Mar%202025%2017:09:13%20GMT	https://ftplay.top/wp-json/	C:/Meus%20Sites/DMCA/ftplay.top/wp-json/index.html	(from https://ftplay.top/dmca)
14:09:12	772/772	---M-Z	200	added ('OK')	text/xml	date:Wed,%2012%20Mar%202025%2017:09:13%20GMT	https://ftplay.top/xmlrpc.php?rsd	C:/Meus%20Sites/DMCA/ftplay.top/xmlrpc0db0.php	(from https://ftplay.top/dmca)
14:09:12	2148/2148	---M-Z	200	added ('OK')	application/json	date:Wed,%2012%20Mar%202025%2017:09:14%20GMT	https://ftplay.top/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fftplay.top%2Fdmca%2F	C:/Meus%20Sites/DMCA/ftplay.top/wp-json/oembed/1.0/embed8991.json	(from https://ftplay.top/dmca)
14:09:12	2345/2345	---M-Z	200	added ('OK')	text/xml	date:Wed,%2012%20Mar%202025%2017:09:14%20GMT	https://ftplay.top/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fftplay.top%2Fdmca%2F&format=xml	C:/Meus%20Sites/DMCA/ftplay.top/wp-json/oembed/1.0/embed14eb	(from https://ftplay.top/dmca)
14:09:13	1637/1637	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Oct%202024%2020:13:32%20GMT	https://ftplay.top/wp-content/uploads/2024/01/cropped-Camada-1-1-32x32.png	C:/Meus%20Sites/DMCA/ftplay.top/wp-content/uploads/2024/01/cropped-Camada-1-1-32x32.png	(from https://ftplay.top/dmca)
14:09:13	21379/21379	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Oct%202024%2020:13:31%20GMT	https://ftplay.top/wp-content/uploads/2024/01/cropped-Camada-1-1-192x192.png	C:/Meus%20Sites/DMCA/ftplay.top/wp-content/uploads/2024/01/cropped-Camada-1-1-192x192.png	(from https://ftplay.top/dmca)
14:09:13	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Mar%202025%2017:09:14%20GMT	https://ftplay.top/?p=600	C:/Meus%20Sites/DMCA/ftplay.top/index2b8b.html	(from https://ftplay.top/dmca)
