date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:04:25	17834/17834	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Oct%202024%2021:09:13%20GMT	https://ftplay.top/wp-content/uploads/elementor/thumbs/2063c84ff01b0321e2741a64d4f9e898_icon-qvr7ru4iseqbqm0smpotx27aczf1c1lzkdgkwc7pow.png	C:/Meus%20Sites/PRIVACIDADE/ftplay.top/wp-content/uploads/elementor/thumbs/2063c84ff01b0321e2741a64d4f9e898_icon-qvr7ru4iseqbqm0smpotx27aczf1c1lzkdgkwc7pow.png	(from https://ftplay.top/)
14:04:25	11229/11229	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Oct%202024%2021:09:13%20GMT	https://ftplay.top/wp-content/uploads/elementor/thumbs/4ff891b9ee9493f6b1dcc3a046751fa6_icon-1-qvr7rv2cz8rm27zfh83ghjyqydaejqppwi42dm6bio.png	C:/Meus%20Sites/PRIVACIDADE/ftplay.top/wp-content/uploads/elementor/thumbs/4ff891b9ee9493f6b1dcc3a046751fa6_icon-1-qvr7rv2cz8rm27zfh83ghjyqydaejqppwi42dm6bio.png	(from https://ftplay.top/)
14:04:25	2338/2338	---M--	200	added ('OK')	image/webp	date:Fri,%2018%20Oct%202024%2021:09:13%20GMT	https://ftplay.top/wp-content/uploads/elementor/thumbs/ssiptv-player-iptv-qvr7sus86y4ibejjonja4ay9j0eco8nipewim4pcy8.webp	C:/Meus%20Sites/PRIVACIDADE/ftplay.top/wp-content/uploads/elementor/thumbs/ssiptv-player-iptv-qvr7sus86y4ibejjonja4ay9j0eco8nipewim4pcy8.webp	(from https://ftplay.top/)
14:04:26	2830/2830	---M--	200	added ('OK')	image/webp	date:Fri,%2018%20Oct%202024%2021:09:13%20GMT	https://ftplay.top/wp-content/uploads/elementor/thumbs/duplexplay-player-iptv-qvr7so7cv3vi24t3r2ow4um1dbas6cxecic496z45s.webp	C:/Meus%20Sites/PRIVACIDADE/ftplay.top/wp-content/uploads/elementor/thumbs/duplexplay-player-iptv-qvr7so7cv3vi24t3r2ow4um1dbas6cxecic496z45s.webp	(from https://ftplay.top/)
14:04:26	2868/2868	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202024%2016:47:43%20GMT	https://ftplay.top/wp-content/cache/autoptimize/css/autoptimize_single_6618775054f0546830c57af5636f9cda.css?ver=1719022170	C:/Meus%20Sites/PRIVACIDADE/ftplay.top/wp-content/cache/autoptimize/css/autoptimize_single_6618775054f0546830c57af5636f9cda493a.css	(from https://ftplay.top/)
14:04:26	18468/18468	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202024%2020:18:54%20GMT	https://ftplay.top/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.18.3	C:/Meus%20Sites/PRIVACIDADE/ftplay.top/wp-content/plugins/elementor/assets/lib/animations/animations.minf3b2.css	(from https://ftplay.top/)
14:04:27	44790/44790	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Mar%202025%2017:04:28%20GMT	https://ftplay.top/-negative.svg	C:/Meus%20Sites/PRIVACIDADE/ftplay.top/-negative.svg	(from https://ftplay.top/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.18.3)
14:04:27	44790/44790	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Mar%202025%2017:04:28%20GMT	https://ftplay.top/OPR/	C:/Meus%20Sites/PRIVACIDADE/ftplay.top/OPR/index.html	(from https://ftplay.top/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.18.3)
14:04:27	44790/44790	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Mar%202025%2017:04:28%20GMT	https://ftplay.top/politica-de-privacidade/t.src	C:/Meus%20Sites/PRIVACIDADE/ftplay.top/politica-de-privacidade/t.61.delayed	(from https://ftplay.top/politica-de-privacidade/)
14:04:27	75539/75539	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202024%2017:44:02%20GMT	https://ftplay.top/wp-content/cache/autoptimize/css/autoptimize_single_7a009e610074c24f1d4cac28889d93f7.css?ver=1729540161&cached=1	C:/Meus%20Sites/PRIVACIDADE/ftplay.top/wp-content/cache/autoptimize/css/autoptimize_single_7a009e610074c24f1d4cac28889d93f78924.css	(from https://ftplay.top/renovacao)
14:04:27	159933/159933	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Mar%202025%2011:56:05%20GMT	https://ftplay.top/renovacao/	C:/Meus%20Sites/PRIVACIDADE/ftplay.top/renovacao/index.html	(from https://ftplay.top/renovacao)
14:04:28	99635/99635	---MCZ	200	added ('OK')	application/json	date:Wed,%2012%20Mar%202025%2017:04:29%20GMT	https://ftplay.top/wp-json/wp/v2/pages/495	C:/Meus%20Sites/PRIVACIDADE/ftplay.top/wp-json/wp/v2/pages/495.json	(from https://ftplay.top/renovacao)
14:04:28	2203/2203	---M-Z	200	added ('OK')	application/json	date:Wed,%2012%20Mar%202025%2017:04:30%20GMT	https://ftplay.top/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fftplay.top%2Frenovacao%2F	C:/Meus%20Sites/PRIVACIDADE/ftplay.top/wp-json/oembed/1.0/embed8f4d.json	(from https://ftplay.top/renovacao)
14:04:28	2400/2400	---M-Z	200	added ('OK')	text/xml	date:Wed,%2012%20Mar%202025%2017:04:30%20GMT	https://ftplay.top/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fftplay.top%2Frenovacao%2F&format=xml	C:/Meus%20Sites/PRIVACIDADE/ftplay.top/wp-json/oembed/1.0/embedbe10	(from https://ftplay.top/renovacao)
14:04:28	94236/94236	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Oct%202024%2020:12:54%20GMT	https://ftplay.top/wp-content/uploads/2024/01/01-copiar-2-1.png	C:/Meus%20Sites/PRIVACIDADE/ftplay.top/wp-content/uploads/2024/01/01-copiar-2-1.png	(from https://ftplay.top/renovacao)
14:04:29	85393/85393	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Oct%202024%2020:13:00%20GMT	https://ftplay.top/wp-content/uploads/2024/01/02-copiar-5.png	C:/Meus%20Sites/PRIVACIDADE/ftplay.top/wp-content/uploads/2024/01/02-copiar-5.png	(from https://ftplay.top/renovacao)
14:04:29	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Mar%202025%2017:04:30%20GMT	https://ftplay.top/?p=495	C:/Meus%20Sites/PRIVACIDADE/ftplay.top/index28bc.html	(from https://ftplay.top/renovacao)
14:04:29	94236/94236	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Oct%202024%2020:12:55%20GMT	https://ftplay.top/wp-content/uploads/2024/01/01-copiar-2-2.png	C:/Meus%20Sites/PRIVACIDADE/ftplay.top/wp-content/uploads/2024/01/01-copiar-2-2.png	(from https://ftplay.top/renovacao)
14:04:29	85393/85393	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Oct%202024%2020:13:00%20GMT	https://ftplay.top/wp-content/uploads/2024/01/02-copiar-6.png	C:/Meus%20Sites/PRIVACIDADE/ftplay.top/wp-content/uploads/2024/01/02-copiar-6.png	(from https://ftplay.top/renovacao)
14:04:29	94236/94236	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Oct%202024%2020:12:56%20GMT	https://ftplay.top/wp-content/uploads/2024/01/01-copiar-2-3.png	C:/Meus%20Sites/PRIVACIDADE/ftplay.top/wp-content/uploads/2024/01/01-copiar-2-3.png	(from https://ftplay.top/renovacao)
14:04:30	85393/85393	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Oct%202024%2020:13:01%20GMT	https://ftplay.top/wp-content/uploads/2024/01/02-copiar-7.png	C:/Meus%20Sites/PRIVACIDADE/ftplay.top/wp-content/uploads/2024/01/02-copiar-7.png	(from https://ftplay.top/renovacao)
14:04:30	94236/94236	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Oct%202024%2020:12:56%20GMT	https://ftplay.top/wp-content/uploads/2024/01/01-copiar-2-4.png	C:/Meus%20Sites/PRIVACIDADE/ftplay.top/wp-content/uploads/2024/01/01-copiar-2-4.png	(from https://ftplay.top/renovacao)
14:04:30	85393/85393	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Oct%202024%2020:13:01%20GMT	https://ftplay.top/wp-content/uploads/2024/01/02-copiar-8.png	C:/Meus%20Sites/PRIVACIDADE/ftplay.top/wp-content/uploads/2024/01/02-copiar-8.png	(from https://ftplay.top/renovacao)
14:04:30	94236/94236	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Oct%202024%2020:12:56%20GMT	https://ftplay.top/wp-content/uploads/2024/01/01-copiar-2-5.png	C:/Meus%20Sites/PRIVACIDADE/ftplay.top/wp-content/uploads/2024/01/01-copiar-2-5.png	(from https://ftplay.top/renovacao)
14:04:30	85393/85393	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Oct%202024%2020:13:01%20GMT	https://ftplay.top/wp-content/uploads/2024/01/02-copiar-9.png	C:/Meus%20Sites/PRIVACIDADE/ftplay.top/wp-content/uploads/2024/01/02-copiar-9.png	(from https://ftplay.top/renovacao)
14:04:31	94236/94236	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Oct%202024%2020:12:57%20GMT	https://ftplay.top/wp-content/uploads/2024/01/01-copiar-2-6.png	C:/Meus%20Sites/PRIVACIDADE/ftplay.top/wp-content/uploads/2024/01/01-copiar-2-6.png	(from https://ftplay.top/renovacao)
14:04:31	85393/85393	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Oct%202024%2020:12:58%20GMT	https://ftplay.top/wp-content/uploads/2024/01/02-copiar-10.png	C:/Meus%20Sites/PRIVACIDADE/ftplay.top/wp-content/uploads/2024/01/02-copiar-10.png	(from https://ftplay.top/renovacao)
14:04:31	44790/44790	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Mar%202025%2017:04:33%20GMT	https://ftplay.top/renovacao/t.src	C:/Meus%20Sites/PRIVACIDADE/ftplay.top/renovacao/t.src	(from https://ftplay.top/renovacao/)
